央视频道,#genre#
金鹰纪实,http://192.168.50.1:20231/rtp/239.21.1.170:5002
金鹰卡通,http://192.168.50.1:20231/rtp/239.21.2.121:5002
汽摩,http://192.168.50.1:20231/rtp/239.21.2.142:5002
CHC高清电影,http://192.168.50.1:20231/rtp/239.21.2.127:5002
CHC家庭电影,http://192.168.50.1:20231/rtp/239.21.2.126:5002
CHC动作电影,http://192.168.50.1:20231/rtp/239.21.2.128:5002
BEST4K,http://192.168.50.1:20231/rtp/239.21.2.71:5002
海看演艺,http://192.168.50.1:20231/rtp/239.21.1.95:5002
德州新闻综合,http://192.168.50.1:20231/rtp/239.21.1.75:5002
德州经济生活,http://192.168.50.1:20231/rtp/239.21.1.76:5002
潍坊新闻综合,http://192.168.50.1:20231/rtp/239.21.1.77:5002
潍坊经济生活,http://192.168.50.1:20231/rtp/239.21.1.78:5002
淄博综合,http://192.168.50.1:20231/rtp/239.21.1.84:5002
淄博公共,http://192.168.50.1:20231/rtp/239.21.1.182:5002
济南新闻综合,http://192.168.50.1:20231/rtp/239.21.1.94:5002
夏津公共[FHD],http://192.168.50.1:20231/rtp/239.21.1.102:5002
夏津综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.106:5002
烟台新闻综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.116:5002
济南教育[FHD],http://192.168.50.1:20231/rtp/239.21.1.133:5002
南阳综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.143:5002
淄川新闻[FHD],http://192.168.50.1:20231/rtp/239.21.1.160:5002
文登[FHD],http://192.168.50.1:20231/rtp/239.21.1.174:5002
邹城综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.185:5002
济阳综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.187:5002
广饶综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.193:5002
烟台影视[FHD],http://192.168.50.1:20231/rtp/239.21.1.204:5002
烟台经济[FHD],http://192.168.50.1:20231/rtp/239.21.1.205:5002
岚山综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.209:5002
新泰新闻,http://192.168.50.1:20231/rtp/239.21.1.210:5002
莘县[FHD],http://192.168.50.1:20231/rtp/239.21.1.211:5002
无棣[FHD],http://192.168.50.1:20231/rtp/239.21.1.214:5002
巨野新闻[FHD],http://192.168.50.1:20231/rtp/239.21.1.215:5002
东平[FHD],http://192.168.50.1:20231/rtp/239.21.1.216:5002
寿光蔬菜[FHD],http://192.168.50.1:20231/rtp/239.21.1.218:5002
茌平[FHD],http://192.168.50.1:20231/rtp/239.21.1.219:5002
乳山综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.220:5002
平阴,http://192.168.50.1:20231/rtp/239.21.1.221:5002
崂山[FHD],http://192.168.50.1:20231/rtp/239.21.1.223:5002
兖州新闻[FHD],http://192.168.50.1:20231/rtp/239.21.1.224:5002
曲阜新闻[FHD],http://192.168.50.1:20231/rtp/239.21.1.225:5002
沾化,http://192.168.50.1:20231/rtp/239.21.1.226:5002
荣成综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.227:5002
平度[FHD],http://192.168.50.1:20231/rtp/239.21.1.228:5002
齐河[FHD],http://192.168.50.1:20231/rtp/239.21.1.230:5002
青州文旅[FHD],http://192.168.50.1:20231/rtp/239.21.1.231:5002
青州综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.232:5002
莒县[FHD],http://192.168.50.1:20231/rtp/239.21.1.236:5002
邹平[FHD],http://192.168.50.1:20231/rtp/239.21.1.238:5002
武城新闻[FHD],http://192.168.50.1:20231/rtp/239.21.1.239:5002
武城综艺[FHD],http://192.168.50.1:20231/rtp/239.21.1.240:5002
禹城综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.241:5002
禹城综艺[FHD],http://192.168.50.1:20231/rtp/239.21.1.242:5002
平原综合[FHD],http://192.168.50.1:20231/rtp/239.21.1.243:5002
定陶[FHD],http://192.168.50.1:20231/rtp/239.21.1.244:5002
昌乐[FHD],http://192.168.50.1:20231/rtp/239.21.1.245:5002
莱西[FHD],http://192.168.50.1:20231/rtp/239.21.1.247:5002
新泰乡村,http://192.168.50.1:20231/rtp/239.21.1.248:5002
郓城[FHD],http://192.168.50.1:20231/rtp/239.21.1.251:5002
聊城综合,http://192.168.50.1:20231/rtp/239.21.1.253:5002
阳信,http://192.168.50.1:20231/rtp/239.21.1.252:5002
聊城民生,http://192.168.50.1:20231/rtp/239.21.1.254:5002
梁山[FHD],http://192.168.50.1:20231/rtp/239.21.2.12:5002
安丘综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.13:5002
济宁综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.19:5002
单县综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.21:5002
蒙阴,http://192.168.50.1:20231/rtp/239.21.2.23:5002
陵城[FHD],http://192.168.50.1:20231/rtp/239.21.2.24:5002
昌邑新闻[FHD],http://192.168.50.1:20231/rtp/239.21.2.27:5002
